full,last,first,link,citations,h-index,i10,t10,university,rank,UniversityID,comment,"* = confirmed, - = remove",trim
Maj Joan A Betances,Betances,Joan A,,,,,,Air Force Institute of Technology  ,Assistant,1,Not listed,-,-
"Borghetti, Brett J",Borghetti,Brett J,https://scholar.google.com/citations?user=Z6vGQasAAAAJ&hl=en&oi=ao,709,12,16,18,Air Force Institute of Technology  ,Associate,1,Assistant to Associate,*,*
"Hopkinson, Kenneth M",Hopkinson,Kenneth M,,,,,,Air Force Institute of Technology  ,Full,1,,*,*
"King, David W.",King,David W,https://scholar.google.com/citations?hl=en&user=_fbqoQUAAAAJ,15,2,0,0,Air Force Institute of Technology  ,Assistant,1,New,*,*
"Merkle, Laurence D.",Merkle,Laurence D,https://scholar.google.com/citations?user=42Qq_JwAAAAJ&hl=en,828,15,22,21,Air Force Institute of Technology  ,Assistant,1,,*,*
"Nykl, Scott L",Nykl,Scott L,https://scholar.google.com/citations?user=R06F8XQAAAAJ&hl=en&oi=ao,222,9,7,9,Air Force Institute of Technology  ,Assistant,1,,*,*
"Noel, George E.",Noel,George E,,,,,,Air Force Institute of Technology  ,Assistant,1,New,*,*
"Peterson, Gilbert L",Peterson,Gilbert L,,,,,,Air Force Institute of Technology  ,Full,1,,*,*
"Reith, Mark G",Reith,Mark G,,,,,,Air Force Institute of Technology  ,Assistant,1,Not listed,-,-
"Sweeney, Patrick",Sweeney,Patrick,https://scholar.google.com/citations?hl=en&user=Yd6StCQAAAAJ,12,1,1,0,Air Force Institute of Technology  ,Assistant,1,New,*,*
Daniel J. Casey,Casey,Daniel J.,,,,,,Air Force Institute of Technology  ,Assistant,1,Not listed,-,-
Gail-Joon Ahn,Ahn,Gail-Joon,https://scholar.google.com/citations?user=_dzO69sAAAAJ&hl=en,13308,56,160,239,Arizona State University  ,Full,2,,*,*
Robert Atkinson,Atkinson,Robert,https://scholar.google.com/citations?user=UzNoXwMAAAAJ&hl=en,6743,33,47,159,Arizona State University  ,Associate,2,Not listed,-,-
Tiffany Bao,Bao,Tiffany,https://scholar.google.com/citations?hl=en&user=mOraMN8AAAAJ,272,5,4,0,Arizona State University  ,Assistant,2,New,*,*
