full,last,first,link,citations,h-index,i10,t10,university,rank,UniversityID,comment,trim,,,,
Maj Joan A Betances,Betances,Joan A,,,,,,Air Force Institute of Technology  ,Assistant,1,Not listed,-,,,,
"Borghetti, Brett J",Borghetti,Brett J,https://scholar.google.com/citations?user=Z6vGQasAAAAJ&hl=en&oi=ao,708,12,16,18,Air Force Institute of Technology  ,Associate,1,Assistant to Associate,*,,,,
"Hopkinson, Kenneth M",Hopkinson,Kenneth M,,,,,,Air Force Institute of Technology  ,Full,1,,*,,,,
"King, David W.",King,David W,https://scholar.google.com/citations?hl=en&user=_fbqoQUAAAAJ,15,2,0,0,Air Force Institute of Technology  ,Assistant,1,New,*,,,,
"Merkle, Laurence D.",Merkle,Laurence D,https://scholar.google.com/citations?user=42Qq_JwAAAAJ&hl=en,828,15,22,21,Air Force Institute of Technology  ,Assistant,1,,*,,,,
"Nykl, Scott L",Nykl,Scott L,https://scholar.google.com/citations?user=R06F8XQAAAAJ&hl=en&oi=ao,222,9,7,9,Air Force Institute of Technology  ,Assistant,1,,*,,,,
"Noel, George E.",Noel,George E,,,,,,Air Force Institute of Technology  ,Assistant,1,New,*,,,,
"Peterson, Gilbert L",Peterson,Gilbert L,,,,,,Air Force Institute of Technology  ,Full,1,,*,,,,
"Reith, Mark G",Reith,Mark G,,,,,,Air Force Institute of Technology  ,Assistant,1,Not listed,-,,,,
"Sweeney, Patrick",Sweeney,Patrick,https://scholar.google.com/citations?hl=en&user=Yd6StCQAAAAJ,12,1,1,0,Air Force Institute of Technology  ,Assistant,1,New,*,,,,
Daniel J. Casey,Casey,Daniel J.,,,,,,Air Force Institute of Technology  ,Assistant,1,Not listed,-,,,,
Gail-Joon Ahn,Ahn,Gail-Joon,https://scholar.google.com/citations?user=_dzO69sAAAAJ&hl=en,13305,56,160,239,Arizona State University  ,Full,2,,*,,,,
Robert Atkinson,Atkinson,Robert,https://scholar.google.com/citations?user=UzNoXwMAAAAJ&hl=en,6741,33,47,159,Arizona State University  ,Associate,2,Not listed,-,,,,
Tiffany Bao,Bao,Tiffany,https://scholar.google.com/citations?hl=en&user=mOraMN8AAAAJ,272,5,4,0,Arizona State University  ,Assistant,2,New,*,,,,
Srividya Bansal,Bansal,Srividya,https://scholar.google.com/citations?user=JoAxSpgAAAAJ&hl=en,1183,15,24,44,Arizona State University  ,Assistant,2,Not listed,-,,,,
Ayjay Bansal ,Bansal,Ayjay,https://scholar.google.com/citations?user=saEmIC0AAAAJ&hl=en&oi=ao,1142,15,20,44,Arizona State University  ,Assistant,2,Not listed,-,,,,
Chitta Baral,Baral,Chitta,https://scholar.google.com/citations?user=9Yd716IAAAAJ&hl=en,8949,41,132,187,Arizona State University  ,Full,2,,*,,,,
Rida Bazzi,Bazzi,Rida,https://scholar.google.com/citations?user=FrMOlk8AAAAJ&hl=en,1409,19,26,35,Arizona State University  ,Associate,2,,*,,,,
Heni Ben Amor,Ben Amor,Heni,https://scholar.google.com/citations?user=u_7S7VYAAAAJ&hl=en,2017,24,46,54,Arizona State University  ,Assistant,2,,*,,,,
Dimitri Bertsekas,Bertsekas,Dimitri,https://scholar.google.com/citations?hl=en&user=VUmcVOAAAAAJ,109619,101,264,2606,Arizona State University  ,Full,2,New,*,,,,
Chris Bryan,Bryan,Chris,https://scholar.google.com/citations?hl=en&user=Y73FwSkAAAAJ,191,8,7,4,Arizona State University  ,Assistant,2,New,*,,,,
Selcuk K. Candan,Candan,Selcuk,https://scholar.google.com/citations?user=keO-0s0AAAAJ&hl=en&oi=ao,21322,40,137,169,Arizona State University  ,Full,2,,*,,,,
Charles Colbourn,Colbourn,Charles,,,,,,Arizona State University  ,Full,2,,*,,,,
James Collofello,Collofello,James,,,,,,Arizona State University  ,Full,2,,*,,,,
Jedidiah Crandall,Crandall,Jedidiah,https://scholar.google.com/citations?hl=en&user=nOF9akgAAAAJ,2344,21,33,72,Arizona State University  ,Associate,2,New,*,,,,
Partha Dasgupta,Dasgupta,Partha,,,,,,Arizona State University  ,Associate,2,,*,,,,
Hasan Davulcu,Davulcu,Hasan,https://scholar.google.com/citations?user=P9IivpwAAAAJ&hl=en,2665,28,52,71,Arizona State University  ,Full,2,Associate to Full,*,,,,
Adam Doupe,Doupe,Adam,https://scholar.google.com/citations?user=hsJqhNAAAAAJ,1826,21,34,59,Arizona State University  ,Associate,2,Assistant to Associate,*,,,,
Georgios Fainekos,Fainekos,Georgios,https://scholar.google.com/citations?user=WGRYgBEAAAAJ&hl=en,5561,35,73,146,Arizona State University  ,Associate,2,,*,,,,
Stephani Forrest ,Forrest,Stephani,https://scholar.google.com/citations?user=rx56n5cAAAAJ&hl=en,38250,82,190,771,Arizona State University  ,Full,2,Assistant to Full,*,,,,
Ashraf Gaffar,Gaffar,Ashraf,,,,,,Arizona State University  ,Assistant,2,Not listed,-,,,,
Stephanie Gill,Gill,Stephanie,,,,,,Arizona State University  ,Assistant,2,Not listed,-,,,,
Javier Gonzalez-Sanchez,Gonzalez-Sanchez,Javier,https://scholar.google.com/citations?user=mSoiXbIAAAAJ&hl=en,274,9,9,9,Arizona State University  ,Assistant,2,Not listed,-,,,,
Sandeep Gupta,Gupta,Sandeep,https://scholar.google.com/citations?user=U9bcQkMAAAAJ&hl=en&oi=ao,11925,58,164,207,Arizona State University  ,Full,2,,*,,,,
Jingrui He,He,Jingrui,https://scholar.google.com/citations?user=hXpZynkAAAAJ&hl=en,3096,27,64,69,Arizona State University  ,Assistant,2,Not listed,-,,,,
Sharon Hsiao,Hsiao,Sharon,https://scholar.google.com/citations?hl=en&user=rcjc5I4AAAAJ,1047,17,33,26,Arizona State University  ,Assistant,2,New,*,,,,
Dijiang Huang,Huang,Dijiang,https://scholar.google.com/citations?user=Y_Bm7IwAAAAJ&hl=en,6360,42,102,152,Arizona State University  ,Associate,2,,*,,,,
Kirk Jalbert,Jalbert,Kirk,https://scholar.google.com/citations?hl=en&user=ZBtcoN4AAAAJ,438,10,10,12,Arizona State University  ,Assistant,2,New,*,,,,
Zilin Jiang,Jiang,Zilin,https://scholar.google.com/citations?hl=en&user=CU1rungAAAAJ,119,6,6,2,Arizona State University  ,Assistant,2,New,*,,,,
Subbarao Kambhampati,Kambhampati,Subbarao,https://scholar.google.com/citations?user=yl3L07sAAAAJ&hl=en&oi=ao,12285,55,214,177,Arizona State University  ,Full,2,,*,,,,
Heewook Lee,Lee,Heewook,https://scholar.google.com/citations?hl=en&user=xxwDwuIAAAAJ,2400,15,17,45,Arizona State University  ,Assistant,2,New,*,,,,
