Rank,University,Size,M10,G10,P10,C40,C60,C80,USN,Scholar,ID
0, IndianaStateUniversity,5, NaN, NaN, NaN,0,0,0,0, NaN,34
0, LIUPost,3, NaN, NaN, NaN,0,0,0,0, NaN,40
1, StanfordUniversity,64,661,667,0.9,54,49,43,5,5,75
1, UniversityofCaliforniaBerkeley,80,543,488,0.82,58,48,34,5,5,92
3, CarnegieMellonUniversity,170,267,248,0.7,102,76,40,5,4.9,11
4, MassachusettsInstituteofTechnology,110,317,330,0.74,66,54,36,5,4.7,44
5, CornellUniversity,102,317,343,0.77,59,50,30,4.5,4.6,19
6, PrincetonUniversity,47,439,376,0.8,29,26,18,4.4,4.3,69
6, UniversityofCaliforniaSanDiego,63,311,312,0.73,46,35,24,4,4.3,97
8, ColumbiaUniversity,52,287,300,0.72,39,34,18,4,4.2,18
8, GeorgiaInstituteofTechnology,105,206,206,0.64,64,46,25,2.3,4.2,29
8, UniversityofCaliforniaLosAngeles,43,333,344,0.75,30,27,16,4.1,4.2,95
8, UniversityofPennsylvania,63,252,250,0.7,46,37,17,3.8,4.2,144
8, UniversityofWashington,73,275,260,0.7,48,37,26,4.5,4.2,160
13, NewYorkUniversity,43,300,315,0.74,31,24,14,3.4,4.1,54
13, UniversityofIllinoisUrbanaChampaign,76,228,224,0.67,53,36,14,4.6,4.1,115
13, UniversityofMichiganAnnArbor,69,256,248,0.7,44,31,15,4.1,4.1,128
16, JohnsHopkinsUniversity,31,341,334,0.73,18,15,11,3.5,3.9,37
16, UniversityofWisconsinMadison,48,297,279,0.74,25,18,9,4.2,3.9,161
18, HarvardUniversity,31,268,259,0.71,23,18,11,3.9,3.8,32
18, UniversityofMarylandCollegePark,60,200,196,0.65,35,27,9,4,3.8,123
20, DukeUniversity,52,199,219,0.66,30,24,12,3.6,3.7,23
20, YaleUniversity,26,344,255,0.7,16,14,10,3.7,3.7,175
22, BrownUniversity,31,276,276,0.71,17,12,7,3.7,3.6,8
22, NortheasternUniversity,66,142,169,0.57,38,22,11,2.7,3.6,58
22, PennsylvaniaStateUniversityUniversityPark,43,240,199,0.64,22,16,5,3.4,3.6,67
22, UniversityofCaliforniaSantaBarbara,36,268,261,0.72,19,12,8,3.3,3.6,98
22, UniversityofMinnesotaTwinCities,45,172,236,0.65,29,15,10,3.4,3.6,129
22, UniversityofTexasAustin,48,210,214,0.64,25,20,10,4.3,3.6,153
28, CaliforniaInstituteofTechnology,21,257,284,0.7,12,10,7,4.2,3.5,10
28, UniversityofMassachusettsAmherst,59,154,176,0.59,31,18,11,3.6,3.5,124
28, UniversityofSouthernCalifornia,41,253,204,0.63,18,13,8,3.7,3.5,149
31, UniversityofCaliforniaDavis,37,170,149,0.55,23,17,5,3.3,3.4,93
31, UniversityofCaliforniaIrvine,52,181,151,0.57,23,17,7,3.4,3.4,94
31, UniversityofChicago,46,183,218,0.63,20,13,6,3.3,3.4,101
34, BostonUniversity,34,172,193,0.61,19,11,7,3,3.3,5
34, PurdueUniversityWestLafayette,66,141,149,0.56,28,15,5,3.7,3.3,70
34, RiceUniversity,25,214,208,0.65,12,9,3,3.7,3.3,72
34, RutgersTheStateUniversityofNewJerseyNewBrunswick,43,200,187,0.62,16,11,5,3.3,3.3,73
38, ArizonaStateUniversity,55,146,145,0.51,18,13,4,3,3.2,2
38, MichiganStateUniversity,36,141,183,0.59,17,9,4,2.8,3.2,45
38, StonyBrookUniversitySUNY,44,155,150,0.55,24,10,4,3.1,3.2,77
38, UniversityofArizona,22,180,165,0.58,14,9,4,3.1,3.2,89
38, UniversityofCaliforniaRiverside,35,173,149,0.57,17,11,4,2.8,3.2,96
38, UniversityofCaliforniaSantaCruz,37,156,147,0.55,17,11,4,2.8,3.2,99
38, UniversityofRochester,19,279,183,0.59,8,6,3,2.9,3.2,146
38, UniversityofVirginia,55,192,140,0.56,18,12,3,3.4,3.2,159
46, UniversityofNorthCarolinaChapelHill,29,152,135,0.55,14,10,5,3.6,3.1,138
47, GeorgeMasonUniversity,46,118,116,0.47,17,10,2,2.5,3,28
47, TempleUniversity,23,155,148,0.52,12,7,3,2,3,79
47, UniversityofColoradoBoulder,57,132,116,0.48,22,8,3,3.1,3,103
47, UniversityofTexasDallas,53,133,118,0.48,16,10,1,2.4,3,154
47, UniversityofUtah,52,112,115,0.47,19,11,3,3.1,3,158
47, VanderbiltUniversity,28,150,145,0.54,14,5,1,2.8,3,165
47, WashingtonUniversityinStLouis,30,125,133,0.56,13,9,6,3.1,3,170
54, CollegeofWilliamandMary,20,171,158,0.57,6,4,0,2.4,2.9,15
54, NorthwesternUniversity,42,113,116,0.47,19,7,2,3.3,2.9,59
